sid,domain,c_tilde,dominant,edu,ad_strength,rep,noalph,content_head
BkiUdu85qYVBhn-WmWnJ,arxiv,0.9847,1,0.998,0.2252,0.1896,0.9715,"\section*{Introduction}  A fullerene is a spherically shaped molecule consisting of carbon atoms in which every carbon ring forms a pentagon or a hexagon \cite{Fowl95,Schw15}. Every atom of a fulleren"
BkiUa1zxK7ICUt7cOVCm,wikipedia,0.9833,1,0.9893,0.0111,0.9774,0.3848,Castellans of the Polish–Lithuanian Commonwealth were the lowest rank of territorial official who could sit in the Senate of Poland. Their numbers varied over time and with the shifting borders of the
BkiUe3vxK0iCl36cYIcJ,stackexchange,0.9794,1,0.9953,0.2675,0.67,0.9638,Q: Need help making code for equilateral triangle in java work For some reason only the odd numbered lines are spacing correctly. Can someone please explain this? Here is my code. import java.util.Sca
BkiUbIA5qWTD6fM1V7xu,arxiv,0.9783,1,0.9829,0.0398,0.162,0.9737,"\section{Introduction and main results}  Correlation is a fundamental notion of science and the Gaussian distribution, which is a building block of probability and statistics, has a nearly 300-year hi"
BkiUbQg5qU2Ap07nSoMr,stackexchange,0.9779,1,0.9863,0.135,0.9696,0.6954,"Q: How can I increase an int value from a method in Java Using the example below. I want to see how to increase a number by calling a method occasionally. In this example, a hero would get armor, and "
BkiUd9DxaKgQJoJrMAbu,commoncrawl,0.9768,0,0.9953,0.9585,0.2312,0.0786,"Tobacco farmers could make more money converting their fields to solar arrays, land use study finds Michigan Tech researchers contend that tobacco farmers could increase profits by converting their la"
BkiUdLrxK6wB9jjDgCfa,stackexchange,0.9759,1,0.9769,0.041,0.4425,0.9749,Q: calculate the time difference. R I have a a dataframe with 2 column:    StartTime             EndTime 1. 2019-05-06 08:34:15   2019-05-06 08:48:30 2. 2019-05-06 10:07:18   2019-05-06 10:21:34 3. 20
BkiUdJM5qsBC7daIet_A,stackexchange,0.9757,1,0.9815,0.172,0.4053,0.97,"Q: How can I create a day number variable in R based on dates? I want to create a variable with the number of the day a participant took a survey (first day, second day, thirds day, etc.) The issue is"
BkiUfCrxK7kjXLlzd2_9,c4,0.9752,0,0.9684,0.982,0.7712,0.1602,"Many students continue to struggle in high school math courses because they failed to master the basic mathematical skills. REA's new Ready, Set, Go! Workbook series takes the confusion out of math, h"
BkiUdAE5qhLA90Q4aFWN,wikipedia,0.9747,1,0.97,0.0265,0.9794,0.0258,The Energy Efficiency and Conservation Act is an Act of Parliament in New Zealand. It is administered by the Ministry for the Environment.  The Act established the Energy Efficiency and Conservation A
BkiUaz3xK7ICUn2IX5ve,github,0.9731,1,0.983,0.219,0.6855,0.9634,package com.siutsin.chapter3;  import java.util.Arrays;  /*  * Write an algorithm that takes two strings and returns a boolean value indicating  * if the strings are anagrams. If you don't know what a
BkiUdeo5qWTBBvMd7QDe,wikipedia,0.9725,1,0.9647,0.0104,0.9805,0.0293,"The black-hooded sierra finch (Phrygilus atriceps) is a species of bird in the family Thraupidae.  It is found in Argentina, Bolivia, Chile, and Peru. Its natural habitats are subtropical or tropical "
BkiUdCU5qsJBjm66-sNA,c4,0.9725,0,0.9707,0.9743,0.5796,0.461,"Tooth decay is a daily battle. Our mouths are exposed to a lot of bacteria, including bacteria that forms naturally. At Puget Sound Pediatrics, we can educate, demonstrate, and help your children care"
BkiUdhTxK1ThhBMLgmAr,c4,0.9724,0,0.962,0.9829,0.5138,0.1246,"Most often fluoride and its use in dental treatments is associated with children and the strengthening of their young, vulnerable teeth. Although fluoride is important for young children, it is benefi"
BkiUdKo4ubng1a6cpT3H,stackexchange,0.9718,1,0.9837,0.0308,0.4667,0.96,"Q: Drawing triangles in latex      \newcommand{\length}{4}     \newcommand{\width}{4}     \begin{tikzpicture}                %Coordinates for square         \coordinate (O) at (0,0);        \coordinat"
BkiUb9zxK1Thg9qFcNLj,c4,0.97,0,0.9654,0.9745,0.3817,0.0991,"The Northern Cape is one of the poorest provinces of Southern Africa, therefore also the province with the highest unemployment rate of 39.8%. Informal rural communities grow year on year and people a"
BkiUfyc5qhDBLPWJL-Rw,github,0.9699,1,0.9994,0.2877,0.6475,0.9412,using System; /*  Problem 6. Four-Digit Number     Write a program that takes as input a four-digit number in format abcd (e.g. 2011) and performs the following:         Calculates the sum of the digi
BkiUd8I5qYVBaJeOHylu,c4,0.9695,0,0.9787,0.9604,0.5569,0.0964,"Everyday thousands of your cells are replicated from old cells that are damaged or worn down. New cells are made from nutrients- aka the food you eat! Eating whole, quality foods provides your cells w"
BkiUd4o5qoTBC5y2MRUH,stackexchange,0.9689,3,0.623,0.3163,0.987,0.7166,"Q: Two dimensional irreducible representation of SO(3) It is known that the irreducible representations of $\operatorname{SO}(3)$ are of dimension $1$, $3$, $5$, etc. Can anyone give a proof that ther"
BkiUcrg4dbggz-0vzPdB,commoncrawl,0.9688,1,0.99,0.088,0.9479,0.2632,"Why did the United States invade Puerto Rico in 1898? From April to August 1898, the United States waged a war with Spain called the Spanish American War. The United States went to war in part to help"
BkiUctXxK6wB9jjDfn2a,commoncrawl,0.9686,0,0.9693,0.968,0.4132,0.0889,"Agriculture Laboratory Plant Sap Analysis Agriculture Water Fertigation, Compost, and Soil Amendments Plant Tissue Testing All Agriculture Analytical Services Food Safety Laboratory Food Safety Water "
BkiUdLM5qhDBQzqNFA_m,c4,0.9684,0,0.995,0.9425,0.3697,0.0898,"This page is for our customers who would like further information about toxic mould — what it is, how to detect it, and how it can affect your health. According to the Environmental Protection Agency "
BkiUfhLxK6EuNCvery2y,commoncrawl,0.9684,1,0.9997,0.0563,0.9381,0.2446,Home > Resources > Facts > Database > The Asteroid Belt The Asteroid Belt Facts About The Asteroid Belt: Asteroids are small bodies including minor planets and dwarf planets. They can appear anywhere 
BkiUdYc241xiErqyYDai,stackexchange,0.9678,1,0.9626,0.0857,0.5026,0.973,Q: r select column element based on condition > w                  A           B 1998-01-08 -0.0051653999  0.007 1998-01-09  0.0064191599 -0.008 1998-01-12 -0.0018169993  0.009 1998-01-13  0.004648254
BkiUc5M4uzlhge3-Exy4,c4,0.9677,0,0.9828,0.9528,0.5931,0.1471,"Use Writing Sparks to Inspire Student Writers | The Techie Teacher® . Writing Sparks is a free online resource that teachers and students can use to inspire creative stories, news articles, poems and "
BkiUb0XxK7ICUmfbyyh-,c4,0.9674,0,0.9586,0.9763,0.4919,0.047,"Gum disease, also known as periodontal disease, is extraordinarily commonplace among adults. It is the #1 leading cause of tooth loss, and according to the American Heart Association there is a direct"
BkiUdKo5qWTA_7kewv61,stackexchange,0.9674,1,0.975,0.6791,0.5589,0.9597,Q: Why is my C program to replaces tabs with the right amount of spaces not working when I enter 2 or more consecutive tabs If I enter one tab the spacing is correct so why is it giving less spaces wh
BkiUbnTxK5YsWR0KiGjE,stackexchange,0.9672,1,0.9761,0.102,0.8405,0.9583,Q: why doesn't this replace the 'Xs' with space's     int mapSizeX = 30;     int mapSizeY = 10;     string map[10][30];     char playerMovement;     for (int i = 0; i < mapSizeY; i++)     {         fo
BkiUdHQ4eIXhrWWONcu-,c4,0.967,0,0.9583,0.9757,0.8803,0.0525,"These headphones work on the bone conduction mechanism. We know that sound travels in the form of waves through air. First, waves enter in the outer ear (pinna), it focuses the sound. Then waves passe"
