feature,n_domains,n_pos,n_neg,verdict,rhos
modernbert_professionalism,7,6,1,positive,"{'arxiv': -0.258, 'book': 0.58, 'c4': 0.512, 'commoncrawl': 0.483, 'github': 0.467, 'stackexchange': 0.389, 'wikipedia': 0.482}"
dsir_books,7,1,4,negative,"{'arxiv': 0.294, 'book': 0.021, 'c4': -0.319, 'commoncrawl': -0.119, 'github': -0.435, 'stackexchange': -0.276, 'wikipedia': -0.621}"
dsir_math,7,1,4,negative,"{'arxiv': 0.279, 'book': 0.104, 'c4': -0.323, 'commoncrawl': -0.13, 'github': -0.432, 'stackexchange': -0.257, 'wikipedia': -0.629}"
dsir_wiki,7,1,4,negative,"{'arxiv': 0.298, 'book': 0.137, 'c4': -0.305, 'commoncrawl': -0.122, 'github': -0.436, 'stackexchange': -0.28, 'wikipedia': -0.615}"
rps_doc_word_count,7,4,0,positive,"{'arxiv': -0.057, 'book': 0.097, 'c4': 0.358, 'commoncrawl': 0.18, 'github': 0.561, 'stackexchange': 0.386, 'wikipedia': 0.679}"
rps_doc_num_sentences,7,2,0,indeterminate,"{'arxiv': -0.055, 'book': -0.049, 'c4': 0.194, 'commoncrawl': 0.136, 'github': 0.41, 'stackexchange': 0.143, 'wikipedia': 0.612}"
rps_doc_unigram_entropy,7,5,0,positive,"{'arxiv': -0.112, 'book': 0.202, 'c4': 0.358, 'commoncrawl': 0.137, 'github': 0.551, 'stackexchange': 0.289, 'wikipedia': 0.623}"
rps_doc_frac_unique_words,7,0,4,negative,"{'arxiv': 0.046, 'book': -0.016, 'c4': -0.276, 'commoncrawl': -0.166, 'github': -0.495, 'stackexchange': -0.415, 'wikipedia': -0.596}"
rps_doc_frac_no_alph_words,7,0,5,negative,"{'arxiv': -0.366, 'book': -0.331, 'c4': -0.323, 'commoncrawl': -0.336, 'github': 0.146, 'stackexchange': 0.059, 'wikipedia': -0.313}"
rps_doc_frac_chars_top_2gram,7,0,1,indeterminate,"{'arxiv': 0.17, 'book': 0.196, 'c4': -0.149, 'commoncrawl': -0.166, 'github': 0.112, 'stackexchange': -0.136, 'wikipedia': -0.303}"
rps_doc_frac_chars_top_3gram,7,1,0,indeterminate,"{'arxiv': -0.02, 'book': -0.024, 'c4': -0.018, 'commoncrawl': -0.191, 'github': 0.233, 'stackexchange': -0.051, 'wikipedia': 0.011}"
rps_lines_uppercase_letter_fraction,7,1,2,indeterminate,"{'arxiv': 0.129, 'book': 0.222, 'c4': -0.261, 'commoncrawl': -0.332, 'github': -0.064, 'stackexchange': -0.033, 'wikipedia': 0.054}"
rps_lines_ending_with_terminal_punctution_mark,7,2,0,indeterminate,"{'arxiv': 0.098, 'book': -0.152, 'c4': nan, 'commoncrawl': 0.357, 'github': 0.029, 'stackexchange': 0.018, 'wikipedia': 0.248}"
rps_lines_numerical_chars_fraction,7,0,1,indeterminate,"{'arxiv': 0.024, 'book': 0.042, 'c4': -0.058, 'commoncrawl': -0.202, 'github': 0.09, 'stackexchange': 0.127, 'wikipedia': 0.074}"
rps_doc_mean_word_length,7,2,3,indeterminate,"{'arxiv': -0.149, 'book': 0.324, 'c4': 0.219, 'commoncrawl': 0.171, 'github': -0.348, 'stackexchange': -0.232, 'wikipedia': -0.344}"
qur_ws,7,7,0,positive,"{'arxiv': 0.425, 'book': 0.541, 'c4': 0.557, 'commoncrawl': 0.493, 'github': 0.294, 'stackexchange': 0.573, 'wikipedia': 0.698}"
qur_re,7,6,0,positive,"{'arxiv': -0.02, 'book': 0.632, 'c4': 0.716, 'commoncrawl': 0.621, 'github': 0.547, 'stackexchange': 0.567, 'wikipedia': 0.599}"
qur_ft,7,7,0,positive,"{'arxiv': 0.587, 'book': 0.508, 'c4': 0.715, 'commoncrawl': 0.555, 'github': 0.541, 'stackexchange': 0.551, 'wikipedia': 0.519}"
qur_ev,7,7,0,positive,"{'arxiv': 0.384, 'book': 0.647, 'c4': 0.737, 'commoncrawl': 0.624, 'github': 0.605, 'stackexchange': 0.655, 'wikipedia': 0.735}"
adfree,7,3,0,indeterminate,"{'arxiv': -0.036, 'book': 0.24, 'c4': 0.275, 'commoncrawl': 0.148, 'github': 0.047, 'stackexchange': 0.267, 'wikipedia': 0.131}"
